operation,operand1,operand2,result
Add,4.0,5.0,9.0
Add,5.0,6.0,11.0
Subtract,7.0,24.0,-17.0
Multiply,8.0,9.0,72.0
Subtract,24.0,7.0,17.0
Subtract,6.0,7.0,-1.0
Add,7.0,8.0,15.0
Divide,24.0,2.0,12.0
Multiply,6.0,6.0,36.0
Add,4.0,5.0,9.0
Subtract,10.0,3.0,7.0
Multiply,2.0,6.0,12.0
Divide,9.0,3.0,3.0
Add,4.0,5.0,9.0
Subtract,10.0,3.0,7.0
Multiply,2.0,6.0,12.0
Divide,9.0,3.0,3.0
Add,4.0,5.0,9.0
Subtract,10.0,3.0,7.0
Multiply,2.0,6.0,12.0
Divide,9.0,3.0,3.0
Add,4.0,5.0,9.0
Subtract,10.0,3.0,7.0
Multiply,2.0,6.0,12.0
Divide,9.0,3.0,3.0
Add,4.0,5.0,9.0
Subtract,10.0,3.0,7.0
Multiply,2.0,6.0,12.0
Divide,9.0,3.0,3.0
Add,4.0,5.0,9.0
Subtract,10.0,3.0,7.0
Multiply,2.0,6.0,12.0
Divide,9.0,3.0,3.0
Add,4.0,5.0,9.0
Subtract,10.0,3.0,7.0
Multiply,2.0,6.0,12.0
Divide,9.0,3.0,3.0
Add,4.0,5.0,9.0
Subtract,10.0,3.0,7.0
Multiply,2.0,6.0,12.0
Divide,9.0,3.0,3.0
Add,4.0,5.0,9.0
Subtract,10.0,3.0,7.0
Multiply,2.0,6.0,12.0
Divide,9.0,3.0,3.0
Add,4.0,5.0,9.0
Subtract,10.0,3.0,7.0
Multiply,2.0,6.0,12.0
Divide,9.0,3.0,3.0
Add,4.0,5.0,9.0
Subtract,10.0,3.0,7.0
Multiply,2.0,6.0,12.0
Divide,9.0,3.0,3.0
Add,4.0,5.0,9.0
Subtract,10.0,3.0,7.0
Multiply,2.0,6.0,12.0
Divide,9.0,3.0,3.0
Add,4.0,5.0,9.0
Subtract,10.0,3.0,7.0
Multiply,2.0,6.0,12.0
Divide,9.0,3.0,3.0
Add,4.0,5.0,9.0
Subtract,10.0,3.0,7.0
Multiply,2.0,6.0,12.0
Divide,9.0,3.0,3.0
Add,4.0,5.0,9.0
Subtract,10.0,3.0,7.0
Multiply,2.0,6.0,12.0
Divide,9.0,3.0,3.0
Subtract,3.0,7.0,-4.0
Add,4.0,5.0,9.0
Subtract,10.0,3.0,7.0
Multiply,2.0,6.0,12.0
Divide,9.0,3.0,3.0
